prefetch x84 W                                    UserTime: 20.74 e/us  KernelTime: not measured e/us, sum: 0
prefetch x88                                      UserTime: 20.38 e/us  KernelTime: not measured e/us, sum: 0
prefetch x88 E                                    UserTime: 20.77 e/us  KernelTime: not measured e/us, sum: 0
prefetch x88 NTA                                  UserTime: 5.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x88 W                                    UserTime: 20.65 e/us  KernelTime: not measured e/us, sum: 0
prefetch x92                                      UserTime: 20.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x92 E                                    UserTime: 20.59 e/us  KernelTime: not measured e/us, sum: 0
prefetch x92 NTA                                  UserTime: 5.66 e/us  KernelTime: not measured e/us, sum: 0
prefetch x92 W                                    UserTime: 19.85 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96                                      UserTime: 20.31 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 E                                    UserTime: 20.11 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 NTA                                  UserTime: 5.60 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 W                                    UserTime: 17.47 e/us  KernelTime: not measured e/us, sum: 0
prefetch x100                                     UserTime: 20.43 e/us  KernelTime: not measured e/us, sum: 0
prefetch x100 E                                   UserTime: 20.55 e/us  KernelTime: not measured e/us, sum: 0
prefetch x100 NTA                                 UserTime: 5.70 e/us  KernelTime: not measured e/us, sum: 0
prefetch x100 W                                   UserTime: 20.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x104                                     UserTime: 20.23 e/us  KernelTime: not measured e/us, sum: 0
prefetch x104 E                                   UserTime: 19.88 e/us  KernelTime: not measured e/us, sum: 0
prefetch x104 NTA                                 UserTime: 5.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x104 W                                   UserTime: 20.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x108                                     UserTime: 20.49 e/us  KernelTime: not measured e/us, sum: 0
prefetch x108 E                                   UserTime: 20.23 e/us  KernelTime: not measured e/us, sum: 0
prefetch x108 NTA                                 UserTime: 5.61 e/us  KernelTime: not measured e/us, sum: 0
prefetch x108 W                                   UserTime: 20.38 e/us  KernelTime: not measured e/us, sum: 0
prefetch x112                                     UserTime: 20.68 e/us  KernelTime: not measured e/us, sum: 0
prefetch x112 E                                   UserTime: 20.48 e/us  KernelTime: not measured e/us, sum: 0
prefetch x112 NTA                                 UserTime: 5.59 e/us  KernelTime: not measured e/us, sum: 0
prefetch x112 W                                   UserTime: 20.61 e/us  KernelTime: not measured e/us, sum: 0
prefetch x116                                     UserTime: 20.30 e/us  KernelTime: not measured e/us, sum: 0
prefetch x116 E                                   UserTime: 20.42 e/us  KernelTime: not measured e/us, sum: 0
prefetch x116 NTA                                 UserTime: 5.46 e/us  KernelTime: not measured e/us, sum: 0
prefetch x116 W                                   UserTime: 18.99 e/us  KernelTime: not measured e/us, sum: 0
prefetch x120                                     UserTime: 20.14 e/us  KernelTime: not measured e/us, sum: 0
prefetch x120 E                                   UserTime: 20.34 e/us  KernelTime: not measured e/us, sum: 0
prefetch x120 NTA                                 UserTime: 5.58 e/us  KernelTime: not measured e/us, sum: 0
prefetch x120 W                                   UserTime: 20.35 e/us  KernelTime: not measured e/us, sum: 0
prefetch x124                                     UserTime: 20.15 e/us  KernelTime: not measured e/us, sum: 0
prefetch x124 E                                   UserTime: 20.42 e/us  KernelTime: not measured e/us, sum: 0
prefetch x124 NTA                                 UserTime: 5.63 e/us  KernelTime: not measured e/us, sum: 0
prefetch x124 W                                   UserTime: 20.27 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128                                     UserTime: 20.30 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 E                                   UserTime: 20.39 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 NTA                                 UserTime: 5.54 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 W                                   UserTime: 20.32 e/us  KernelTime: not measured e/us, sum: 0

